city,east,north,south,west,lat,lng
"SPRINGDALE, AR",-94.01898309999999,36.2145404,36.1345404,-94.2589831,36.1745404,-94.13898309999999
"RACINE, WI",-87.66285230000001,42.7661309,42.6861309,-87.90285230000002,42.7261309,-87.78285230000002
"GLEN ALLEN, VA",-77.3863739,37.705978,37.625978,-77.6263739,37.665978,-77.5063739
"SPRINGFIELD, VA",-77.06720359999998,38.8292801,38.7492801,-77.3072036,38.7892801,-77.18720359999999
"FUQUAY VARINA, NC",-78.68001279999999,35.6243235,35.544323500000004,-78.9200128,35.5843235,-78.0001279999999
"ANNAPOLIS, MD",-76.3721829,39.018445299999996,38.9384453,-76.61218290000001,38.9784453,-76.4921829
"ROYAL OAK, MI",-83.0246485,42.5294801,42.4494801,-83.2646485,42.4894801,-83.1446485
"CORDOVA, TN",-89.641545,35.1998391,35.1198391,-89.881545,35.1598391,-89.761545
"LAWRENCE, KS",-95.1152501,39.0116689,38.9316689,-95.3552501,38.9716689,-95.2352501
"BRONX, NY",-73.7448268,40.8847819,40.8047819,-73.98482680000001,40.8447819,-73.8648268
"ANTIOCH, TN",-86.55159479999999,36.0997177,36.0197177,-86.7915948,36.0597177,-86.6715948
"CONWAY, SC",-78.9278143,33.8760034,33.796003400000004,-79.1678143,33.8360034,-79.0478143
"WESTLAND, MI",-83.280211,42.36420399999999,42.28420399999999,-83.520211,42.32420399999999,-83.400211
"ATHENS, AL",-86.8516741,34.8428661,34.762866100000004,-87.0916741,34.8028661,-86.9716741
"CASPER, WY",-106.1780824,42.888709000000006,42.80870900000001,-106.4180824,42.84870900000001,-106.2980824
"CANTON, MI",-83.36211599999999,42.3486444,42.2686444,-83.602116,42.3086444,-83.48211599999999
"SPRING HILL, TN",-86.8100023,35.791179,35.711179,-87.0500023,35.751179,-86.9300023
"CLINTON TOWNSHIP, MI",-82.7995514,42.626888199999996,42.5468882,-83.03955140000001,42.5868882,-82.9195514
"MARTINSBURG, WV",-77.84388689999999,39.4962099,39.4162099,-78.0838869,39.4562099,-77.96388689999999
"EAU CLAIRE, WI",-91.3784941,44.851349,44.771349,-91.6184941,44.811349,-91.4984941
"PERRIS, CA",-117.1086478,33.8225194,33.7425194,-117.34864780000001,33.7825194,-117.2286478
"EDISON, NJ",-74.2920953,40.5587154,40.4787154,-74.53209530000001,40.5187154,-74.4120953
"PALM HARBOR, FL",-82.6437127,28.1180718,28.0380718,-82.8837127,28.0780718,-82.7637127
"PORT ORCHARD, WA",-122.51624919999999,47.5803732,47.5003732,-122.7562492,47.5403732,-122.6362492
"CITRUS HEIGHTS, CA",-121.1776028,38.7230822,38.6430822,-121.41760280000001,38.6830822,-121.2976028
"ALTOONA, PA",-78.2747359,40.5586809,40.4786809,-78.5147359,40.5186809,-78.3947359
"HAGERSTOWN, MD",-77.59999319999999,39.6817629,39.601762900000004,-77.8399932,39.6417629,-77.71999319999999
"FAYETTEVILLE, GA",-84.33504429999999,33.488629599999996,33.4086296,-84.5750443,33.4486296,-84.4550443
"CASA GRANDE, AZ",-111.65339019999999,32.9510027,32.8710027,-111.8933902,32.9110027,-111.7733902
"CHERRY HILL, NJ",-74.9046312,39.966813,39.886813000000004,-75.1446312,39.926813,-75.0246312
"COCOA, FL",-80.6219984,28.4261159,28.3461159,-80.8619984,28.3861159,-80.7419984
"FEDERAL WAY, WA",-122.1926222,47.3623221,47.2823221,-122.43262220000001,47.3223221,-122.3126222
"CRANSTON, RI",-71.31727959999999,41.8198226,41.739822600000004,-71.5572796,41.7798226,-71.4372796
"TAYLOR, MI",-83.1496509,42.280872,42.200872000000004,-83.3896509,42.240872,-83.2696509
"WAXAHACHIE, TX",-96.72833109999999,32.4265312,32.3465312,-96.9683311,32.3865312,-96.8483311
"BRANDON, FL",-82.16592469999999,27.977801,27.897801,-82.4059247,27.937801,-82.2859247
"MERIDIAN, MS",-88.58365599999999,32.4043098,32.3243098,-88.823656,32.3643098,-88.703656
"GREENSBURG, PA",-79.4189289,40.3414581,40.2614581,-79.6589289,40.3014581,-79.5389289
"MIDDLETOWN, OH",-84.27827629999999,39.5550576,39.4750576,-84.5182763,39.5150576,-84.39827629999999
"KANNAPOLIS, NC",-80.5017341,35.5273613,35.447361300000004,-80.7417341,35.4873613,-80.6217341
"HAMMOND, IN",-87.3800412,41.6233688,41.5433688,-87.6200412,41.5833688,-87.5000412
"DALY CITY, CA",-122.3502079,37.727924099999996,37.6479241,-122.59020790000001,37.6879241,-122.4702079
"BRENTWOOD, CA",-121.57578629999999,37.971868,37.891868,-121.8157863,37.931868,-121.6957863
"GRANTS PASS, OR",-123.2083925,42.4790069,42.3990069,-123.44839250000001,42.4390069,-123.3283925
"PLYMOUTH, MA",-70.5472621,41.9984457,41.9184457,-70.7872621,41.9584457,-70.6672621
"ROCKLIN, CA",-121.11578279999999,38.8307339,38.7507339,-121.3557828,38.7907339,-121.2357828
"LUTZ, FL",-82.34148309999999,28.1911243,8.1111243,-82.5814831,28.1511243,-82.4614831
"VALRICO, FL",-82.1220317,27.986261499999998,27.9062615,-82.3620317,27.9462615,-82.2420317
"LEBANON, TN",-86.1711024,36.2481098,36.1681098,-86.4111024,36.2081098,-86.2911024
"MOORE, OK",-97.36670279999998,35.3795079,35.2995079,-97.6067028,35.3395079,-97.48670279999999
"NORWALK, CA",-117.961733,33.9422367,33.862236700000004,-118.201733,33.9022367,-118.081733
"SNOHOMISH, WA",-121.9781848,47.952875600000006,47.87287560000001,-122.2181848,47.91287560000001,-122.0981848
"ROWLETT, TX",-96.44388,32.9429017,32.8629017,-96.68388,32.9029017,-96.56388
"LAKE ELSINORE, CA",-117.2072615,33.7080772,33.6280772,-117.44726150000001,33.6680772,-117.3272615
"STOCKBRIDGE, GA",-84.11380929999999,33.5842781,33.5042781,-84.3538093,33.5442781,-84.23380929999999
"ENID, OK",-97.7583911,36.4355891,36.3555891,-97.9983911,36.3955891,-97.8783911
"SUN CITY, AZ",-112.1518239,33.6375393,33.5575393,-112.3918239,33.5975393,-112.2718239
"CONVERSE, TX",-98.18683979999999,29.5462414,29.4662414,-98.4268398,29.5062414,-98.30683979999999
"NAPA, CA",-122.166865,38.337538099999996,38.2575381,-122.40686500000001,38.2975381,-122.286865
"COVINGTON, LA",-89.98091079999999,30.5154702,30.4354702,-90.2209108,30.4754702,-90.1009108
"WALDORF, MD",-76.7905483,38.6665124,38.586512400000004,-77.0305483,38.6265124,-76.9105483
"DUBUQUE, IA",-90.54774789999999,42.5463629,42.4663629,-90.7877479,42.5063629,-90.6677479
"WYLIE, TX",-96.41911529999999,33.046272699999996,32.9662727,-96.6591153,33.0062727,-96.53911529999999
"MARYSVILLE, WA",-122.05708179999999,48.0917637,48.0117637,-122.2970818,48.0517637,-122.1770818
"COEUR D ALENE, ID",-116.6612225,47.7134632,47.6334632,-116.9012225,47.6734632,-116.7812225
"ELYRIA, OH",-81.98764859999999,41.4083798,41.3283798,-82.2276486,41.3683798,-82.10764859999999
"COMPTON, CA",-118.1000712,33.9358492,33.8558492,-118.34007120000001,33.8958492,-118.2200712
"YORBA LINDA, CA",-117.6932571,33.92850350000001,33.848503500000014,-117.9332571,33.88850350000001,-117.8132571
"CRESTVIEW, FL",-86.4527995,30.7941808,30.7141808,-86.6927995,30.7541808,-86.5727995
"BRUNSWICK, GA",-81.3678157,31.1910919,31.1110919,-81.6078157,31.1510919,-81.4878157
"LA PUENTE, CA",-117.8295083,34.0600114,33.9800114,-118.06950830000001,34.0200114,-117.9495083
"FARGO, ND",-96.66980339999999,46.9171863,46.8371863,-96.9098034,46.8771863,-96.7898034
"DOVER, DE",-75.4043682,39.198168,39.118168000000004,-75.6443682,39.158168,-75.5243682
"SAN MATEO, CA",-122.2055254,37.6029917,37.5229917,-122.44552540000001,37.5629917,-122.3255254
"COMMERCE CITY, CO",-104.8138675,39.848319599999996,39.7683196,-105.05386750000001,39.8083196,-104.9338675
"NEW CASTLE, PA",-80.22700900000001,41.0436719,40.9636719,-80.46700900000002,41.0036719,-80.34700900000001
"NORTH RICHLAND HILLS, TX",-97.10890289999999,32.8742952,32.7942952,-97.3489029,32.8342952,-97.2289029
"GLEN BURNIE, MD",-76.5046886,39.2026084,39.122608400000004,-76.7446886,39.1626084,-76.6246886
"ZANESVILLE, OH",-81.89319239999999,39.980345299999996,39.9003453,-82.1331924,39.9403453,-82.0131924
"GREENVILLE, NC",-77.2463538,35.652661,35.572661000000004,-77.4863538,35.612661,-77.3663538
"ANKENY, IA",-93.48012779999999,41.7717884,41.6917884,-93.7201278,41.7317884,-93.6001278
"BARTLETT, TN",-89.7539753,35.2445328,35.1645328,-89.9939753,35.2045328,-89.8739753
"ROCHESTER HILLS, MI",-83.02993219999999,42.69836609999999,42.61836609999999,-83.2699322,42.65836609999999,-83.1499322
"LEESBURG, FL",-81.75785819999999,28.850823,28.770823,-81.9978582,28.810823,-81.87785819999999
"CROSSVILLE, TN",-84.9069014,35.9889566,35.9089566,-85.1469014,35.9489566,-85.0269014
"YUBA CITY, CA",-121.4969108,39.1804477,39.100447700000004,-121.7369108,39.1404477,-121.6169108
"BONITA SPRINGS, FL",-81.65869719999999,26.379806,26.299806,-81.8986972,26.339806,-81.7786972
"PLEASANTON, CA",-121.7557968,37.7004484,37.6204484,-121.99579680000001,37.6604484,-121.8757968
"REDMOND, WA",-122.00151199999999,47.7139881,47.6339881,-122.241512,47.6739881,-122.121512
"JEFFERSON CITY, MO",-92.05351639999999,38.61670170000001,38.53670170000001,-92.2935164,38.57670170000001,-92.1735164
"MARRERO, LA",-89.9803506,29.9393723,29.8593723,-90.2203506,29.8993723,-90.1003506
"GRESHAM, OR",-122.3156657,45.5444715,45.4644715,-122.5556657,45.5044715,-122.4356657
"OVIEDO, FL",-81.08812029999999,28.709996999999998,28.629997,-81.3281203,28.669997,-81.20812029999999
"GIG HARBOR, WA",-122.46012929999999,47.36926399999999,47.28926399999999,-122.7001293,47.32926399999999,-122.5801293
"SANTA CRUZ, CA",-121.9107963,37.0141171,36.9341171,-122.15079630000001,36.9741171,-122.0307963
"COOKEVILLE, TN",-85.3816423,36.202839,36.122839,-85.6216423,36.162839,-85.5016423
"BENTON, AR",-92.46537799999999,34.6093083,34.529308300000004,-92.705378,34.5693083,-92.58537799999999
"ARLINGTON HEIGHTS, IL",-87.86062650000001,42.1283603,42.0483603,-88.10062650000002,42.0883603,-87.8062650000001
"SHELBY, NC",-81.41564629999999,35.3323513,35.2523513,-81.6556463,35.2923513,-81.5356463
"DUBLIN, OH",-82.9940771,40.1392294,40.0592294,-83.23407710000001,40.0992294,-83.1140771
"SHELBY TOWNSHIP, MI",-82.9138608,42.7095739,42.629573900000004,-83.1538608,42.6695739,-83.0338608
"BURBANK, CA",-118.1889661,34.2208392,34.1408392,-118.42896610000001,34.1808392,-118.3089661
"CHAMPAIGN, IL",-88.1233829,40.1564204,40.0764204,-88.3633829,40.1164204,-88.2433829
"ALEXANDRIA, LA",-92.32513709999999,31.351293599999998,31.2712936,-92.5651371,31.3112936,-92.4451371
"SEVIERVILLE, TN",-83.44183500000001,35.908145499999996,35.8281455,-83.68183500000002,35.8681455,-83.6183500000002
"CHINO HILLS, CA",-117.6125848,34.0298188,33.9498188,-117.8525848,33.9898188,-117.7325848
"FALLS CHURCH, VA",-77.05109139999999,38.922334000000006,38.84233400000001,-77.2910914,38.88233400000001,-77.1710914
"TWIN FALLS, ID",-114.35005179999999,42.5958381,42.5158381,-114.5900518,42.5558381,-114.4700518
"LYNNWOOD, WA",-122.1951313,47.8609301,47.7809301,-122.43513130000001,47.8209301,-122.3151313
"NEWARK, OH",-82.2812642,40.0981205,40.0181205,-82.5212642,40.0581205,-82.4012642
"PALM BEACH GARDENS, FL",-79.9819144,26.8796096,26.7996096,-80.2219144,26.8396096,-80.1019144
"LEVITTOWN, PA",-74.70877469999999,40.1951096,40.115109600000004,-74.9487747,40.1551096,-74.8287747
"SANTA CLARA, CA",-121.83523559999999,37.3941079,37.3141079,-122.0752356,37.3541079,-121.9552356
"RICHLAND, WA",-119.15519959999999,46.320420000000006,46.24042000000001,-119.3951996,46.28042000000001,-119.2751996
"BOLINGBROOK, IL",-87.94839549999999,41.73864159999999,41.65864159999999,-88.1883955,41.69864159999999,-88.0683955
"LA QUINTA, CA",-116.1900095,33.7033573,33.6233573,-116.43000950000001,33.6633573,-116.3100095
"STAMFORD, CT",-73.4187341,41.0934302,41.0134302,-73.6587341,41.0534302,-73.5387341
"ROSWELL, NM",-104.40302419999999,33.4342655,33.354265500000004,-104.6430242,33.3942655,-104.5230242
"PHENIX CITY, AL",-84.8807653,32.5109761,32.4309761,-85.1207653,32.4709761,-85.0007653
"BELLEVUE, NE",-95.80624979999999,41.196700299999996,41.1167003,-96.0462498,41.1567003,-95.9262498
"SALISBURY, MD",-75.4793692,38.4006736,38.3206736,-75.7193692,38.3606736,-75.5993692
"POMPANO BEACH, FL",-80.00476669999999,26.2778597,26.197859700000002,-80.2447667,26.2378597,-80.1247667
"DOWNEY, CA",-118.0131593,33.9801088,33.9001088,-118.25315930000001,33.9401088,-118.1331593
"BALLWIN, MO",-90.42623389999999,38.6350532,38.5550532,-90.6662339,38.5950532,-90.54623389999999
"MANCHESTER, NH",-71.3347891,43.0356397,42.9556397,-71.5747891,42.9956397,-71.4547891
"LANCASTER, OH",-82.4793294,39.7536754,39.6736754,-82.7193294,39.7136754,-82.5993294
"SPRINGFIELD, OR",-122.90202889999999,44.0862362,44.006236200000004,-123.1420289,44.0462362,-123.0220289
"DALTON, GA",-84.8502228,34.8098021,34.7298021,-85.0902228,34.7698021,-84.9702228
"BERKELEY, CA",-122.153042,37.9115226,37.8315226,-122.39304200000001,37.8715226,-122.273042
"LAYTON, UT",-111.8510529,41.1002216,41.0202216,-112.09105290000001,41.0602216,-111.9710529
"PASADENA, MD",-76.45107529999999,39.1473317,39.067331700000004,-76.6910753,39.1073317,-76.57107529999999
"CLIFTON, NJ",-74.04375529999999,40.8984328,40.818432800000004,-74.2837553,40.8584328,-74.16375529999999
"FARMINGTON HILLS, MI",-83.24771679999999,42.5389936,42.4589936,-83.4877168,42.4989936,-83.3677168
"WINTER PARK, FL",-81.21923519999999,28.6399998,28.5599998,-81.4592352,28.5999998,-81.33923519999999
"BENTONVILLE, AR",-94.09021410000001,36.4123561,36.3323561,-94.33021410000002,36.3723561,-94.21021410000002
"NIAGARA FALLS, NY",-78.9177388,43.1362143,43.0562143,-79.1577388,43.0962143,-79.0377388
"KERNERSVILLE, NC",-79.95365329999998,36.1598588,36.079858800000004,-80.1936533,36.1198588,-80.7365329999999
"DEARBORN HEIGHTS, MI",-83.15326269999998,42.3769816,42.2969816,-83.3932627,42.3369816,-83.27326269999999
"MAPLE GROVE, MN",-93.3357877,45.1124642,45.0324642,-93.5757877,45.0724642,-93.4557877
"CAMDEN, NJ",-74.9996199,39.9659463,39.8859463,-75.23961990000001,39.9259463,-75.1196199
"POTTSTOWN, PA",-75.5296302,40.2853741,40.2053741,-75.76963020000001,40.2453741,-75.6496302
"KYLE, TX",-97.7572267,30.0291052,29.9491052,-97.99722670000001,29.9891052,-97.87722670000001
"PLANTATION, FL",-80.11310359999999,26.1675862,26.0875862,-80.3531036,26.1275862,-80.23310359999999
"VAN NUYS, CA",-118.346222,34.2412166,34.1612166,-118.586222,34.2012166,-118.466222
"HOUMA, LA",-90.59953479999999,29.6357696,29.5557696,-90.8395348,29.5957696,-90.71953479999999
"BRENTWOOD, TN",-86.66277720000001,36.073116399999996,35.9931164,-86.90277720000002,36.0331164,-86.8277720000001
"BLUE SPRINGS, MO",-94.1616148,39.0569509,38.9769509,-94.4016148,39.0169509,-94.2816148
"TITUSVILLE, FL",-80.6875537,28.6522187,28.5722187,-80.9275537,28.6122187,-80.8075537
"ALBANY, OR",-122.98592819999999,44.6765107,44.5965107,-123.2259282,44.6365107,-123.1059282
"GRANBURY, TX",-97.6705758,32.4888736,32.4088736,-97.9105758,32.4488736,-97.7905758
"EVANS, GA",-82.0106747,33.5737464,33.4937464,-82.2506747,33.5337464,-82.1306747
"PALM DESERT, CA",-116.2544556,33.7622445,33.6822445,-116.49445560000001,33.7222445,-116.3744556
"DELAWARE, OH",-82.947965,40.3386724,40.2586724,-83.187965,40.2986724,-83.067965
"RICHMOND, CA",-122.2277486,37.9757576,37.8957576,-122.46774860000001,37.9357576,-122.3477486
"FAIRBANKS, AK",-147.5999756,64.8800511,64.80005109999999,-147.8399756,64.8400511,-147.7199756
"SCRANTON, PA",-75.54241219999999,41.448969,41.368969,-75.7824122,41.408969,-75.66241219999999
"DOWNERS GROVE, IL",-87.89117459999999,41.848919099999996,41.7689191,-88.1311746,41.8089191,-88.1117459999999
"JACKSON, NJ",-74.23874729999999,40.1318895,40.0518895,-74.4787473,40.0918895,-74.35874729999999
"WEST COLUMBIA, SC",-80.9539825,34.0334867,33.9534867,-81.1939825,33.9934867,-81.0739825
"LANCASTER, SC",-80.6509014,34.7604257,34.6804257,-80.8909014,34.7204257,-80.7709014
"CHAMBERSBURG, PA",-77.5411022,39.9775911,39.8975911,-77.7811022,39.9375911,-77.6611022
"TULARE, CA",-119.2273379,36.2477288,36.1677288,-119.4673379,36.2077288,-119.3473379
"CARTERSVILLE, GA",-84.6799382,34.2050972,34.1250972,-84.9199382,34.1650972,-84.7999382
"PLANT CITY, FL",-81.99286409999999,28.0586323,27.9786323,-82.2328641,28.0186323,-82.1128641
"TURLOCK, CA",-120.72597859999999,37.534574299999996,37.4545743,-120.9659786,37.4945743,-120.8459786
"BRIGHTON, CO",-104.7005283,40.0252617,39.9452617,-104.94052830000001,39.9852617,-104.8205283
"STUART, FL",-80.1328257,27.237548,27.157548000000002,-80.3728257,27.197548,-80.2528257
"FORT WALTON BEACH, FL",-86.49703079999999,30.46007079999999,30.38007079999999,-86.7370308,30.2007079999999,-86.6170308
"ANNISTON, AL",-85.71163179999999,33.6998257,33.6198257,-85.9516318,33.6598257,-85.8316318
"MONROE, MI",-83.2777101,41.9564343,41.8764343,-83.5177101,41.9164343,-83.3977101
"FRIENDSWOOD, TX",-95.08104469999999,29.5693998,29.4893998,-95.3210447,29.5293998,-95.2010447
"CAMARILLO, CA",-118.9176023,34.2563937,34.1763937,-119.15760230000001,34.2163937,-119.0376023
"OREGON CITY, OR",-122.48585299999999,45.3956099,45.3156099,-122.725853,45.3556099,-122.605853
"WATERBURY, CT",-72.9314965,41.5981525,41.5181525,-73.1714965,41.5581525,-73.0514965
"BEAUMONT, CA",-116.857248,33.9694606,33.8894606,-117.09724800000001,33.9294606,-116.977248
"GREAT FALLS, MT",-111.18077149999999,47.5452849,47.4652849,-111.4207715,47.5052849,-111.3007715
"POUGHKEEPSIE, NY",-73.8009701,41.7403713,41.6603713,-74.04097010000001,41.7003713,-73.9209701
"GALLATIN, TN",-86.32636629999999,36.4283432,36.3483432,-86.5663663,36.3883432,-86.4463663
"PORT ARTHUR, TX",-93.81994699999998,29.9249504,29.844950400000002,-94.059947,29.8849504,-93.93994699999999
"EAST SAINT LOUIS, IL",-90.03064649999999,38.664514,38.584514,-90.2706465,38.624514,-90.1506465
"SEMINOLE, FL",-82.67121339999998,27.8797466,27.799746600000002,-82.9112134,27.8397466,-82.79121339999999
"JAMAICA, NY",-73.67919529999999,40.7437439,40.6637439,-73.9191953,40.7037439,-73.7991953
"MENTOR, OH",-81.219552,41.7061573,41.6261573,-81.459552,41.6661573,-81.339552
"PATERSON, NJ",-74.05181099999999,40.9567654,40.876765400000004,-74.291811,40.9167654,-74.17181099999999
"SOUTHFIELD, MI"
"WOODLAND HILLS, CA",-118.48582669999999,34.2085035,34.1285035,-118.7258267,34.1685035,-118.6058267
"LA CROSSE, WI"
"REDWOOD CITY, CA",-122.10814099999999,37.524795499999996,37.4447955,-122.348141,37.4847955,-122.228141
"GOOSE CREEK, SC",-79.9125867,33.0210059,32.9410059,-80.15258670000001,32.9810059,-80.03258670000001
"LUFKIN, TX",-94.6121127,31.3745562,31.294556200000002,-94.8521127,31.3345562,-94.7321127
"BROCKTON, MA",-70.8983787,42.1234335,42.0434335,-71.1383787,42.0834335,-71.0183787
"THOUSAND OAKS, CA",-118.7287793,34.216113299999996,34.1361133,-118.96877930000001,34.1761133,-118.8487793
"LOVELAND, OH",-84.143826,39.308947599999996,39.2289476,-84.38382600000001,39.2689476,-84.26382600000001
"SAN RAFAEL, CA",-122.4110874,38.0135346,37.9335346,-122.65108740000001,37.9735346,-122.5310874
"KENNER, LA",-90.1217434,30.0340924,29.9540924,-90.36174340000001,29.9940924,-90.2417434
